Timestamp,City,AQI,PM2.5,JSON
2025-03-01 12:15:43,Bangkok,86,86,"{'aqi': 86, 'idx': 5773, 'attributions': [{'url': 'http://aqmthai.com/', 'name': 'Division of Air Quality Data, Air Quality and Noise Management Bureau, Pollution Control Department.', 'logo': 'Thailand-PCD.png'}, {'url': 'https://waqi.info/', 'name': 'World Air Quality Index Project'}], 'city': {'geo': [13.7563309, 100.5017651], 'name': 'Bangkok', 'url': 'https://aqicn.org/city/bangkok', 'location': ''}, 'dominentpol': 'pm25', 'iaqi': {'co': {'v': 0.1}, 'h': {'v': 60}, 'no2': {'v': 0.6}, 'o3': {'v': 20.5}, 'p': {'v': 1008.1}, 'pm10': {'v': 50}, 'pm25': {'v': 86}, 'r': {'v': 3.3}, 'so2': {'v': 0.6}, 't': {'v': 36.4}, 'w': {'v': 2}}, 'time': {'s': '2025-03-01 17:00:00', 'tz': '+07:00', 'v': 1740848400, 'iso': '2025-03-01T17:00:00+07:00'}, 'forecast': {'daily': {'o3': [{'avg': 6, 'day': '2025-02-27', 'max': 29, 'min': 1}, {'avg': 10, 'day': '2025-02-28', 'max': 69, 'min': 1}, {'avg': 7, 'day': '2025-03-01', 'max': 39, 'min': 1}, {'avg': 9, 'day': '2025-03-02', 'max': 34, 'min': 3}, {'avg': 8, 'day': '2025-03-03', 'max': 29, 'min': 3}, {'avg': 7, 'day': '2025-03-04', 'max': 20, 'min': 2}, {'avg': 9, 'day': '2025-03-05', 'max': 36, 'min': 2}, {'avg': 3, 'day': '2025-03-06', 'max': 5, 'min': 2}], 'pm10': [{'avg': 50, 'day': '2025-02-27', 'max': 58, 'min': 36}, {'avg': 50, 'day': '2025-02-28', 'max': 61, 'min': 28}, {'avg': 47, 'day': '2025-03-01', 'max': 58, 'min': 28}, {'avg': 46, 'day': '2025-03-02', 'max': 55, 'min': 28}, {'avg': 42, 'day': '2025-03-03', 'max': 48, 'min': 28}, {'avg': 51, 'day': '2025-03-04', 'max': 61, 'min': 46}, {'avg': 49, 'day': '2025-03-05', 'max': 53, 'min': 38}, {'avg': 57, 'day': '2025-03-06', 'max': 73, 'min': 46}, {'avg': 41, 'day': '2025-03-07', 'max': 46, 'min': 23}], 'pm25': [{'avg': 144, 'day': '2025-02-27', 'max': 159, 'min': 104}, {'avg': 141, 'day': '2025-02-28', 'max': 162, 'min': 89}, {'avg': 126, 'day': '2025-03-01', 'max': 159, 'min': 89}, {'avg': 134, 'day': '2025-03-02', 'max': 154, 'min': 89}, {'avg': 117, 'day': '2025-03-03', 'max': 142, 'min': 89}, {'avg': 137, 'day': '2025-03-04', 'max': 155, 'min': 94}, {'avg': 136, 'day': '2025-03-05', 'max': 154, 'min': 93}, {'avg': 150, 'day': '2025-03-06', 'max': 167, 'min': 114}, {'avg': 102, 'day': '2025-03-07', 'max': 138, 'min': 70}], 'uvi': [{'avg': 2, 'day': '2025-02-27', 'max': 9, 'min': 0}, {'avg': 2, 'day': '2025-02-28', 'max': 9, 'min': 0}, {'avg': 2, 'day': '2025-03-01', 'max': 10, 'min': 0}, {'avg': 2, 'day': '2025-03-02', 'max': 9, 'min': 0}, {'avg': 2, 'day': '2025-03-03', 'max': 10, 'min': 0}, {'avg': 2, 'day': '2025-03-04', 'max': 10, 'min': 0}, {'avg': 3, 'day': '2025-03-05', 'max': 11, 'min': 0}, {'avg': 0, 'day': '2025-03-06', 'max': 0, 'min': 0}]}}, 'debug': {'sync': '2025-03-01T19:12:09+09:00'}}"
2025-03-01 12:15:43,Beijing,261,261,"{'aqi': 261, 'idx': 1451, 'attributions': [{'url': 'http://www.bjmemc.com.cn/', 'name': 'Beijing Environmental Protection Monitoring Center (北京市环境保护监测中心)'}, {'url': 'https://waqi.info/', 'name': 'World Air Quality Index Project'}], 'city': {'geo': [39.954592, 116.468117], 'name': 'Beijing (北京)', 'url': 'https://aqicn.org/city/beijing', 'location': ''}, 'dominentpol': 'pm25', 'iaqi': {'co': {'v': 16.3}, 'h': {'v': 62}, 'no2': {'v': 22.4}, 'o3': {'v': 40.3}, 'p': {'v': 1014}, 'pm10': {'v': 156}, 'pm25': {'v': 261}, 'so2': {'v': 4.1}, 't': {'v': 11}, 'w': {'v': 2.5}}, 'time': {'s': '2025-03-01 19:00:00', 'tz': '+08:00', 'v': 1740855600, 'iso': '2025-03-01T19:00:00+08:00'}, 'forecast': {'daily': {'o3': [{'avg': 1, 'day': '2025-02-27', 'max': 4, 'min': 1}, {'avg': 1, 'day': '2025-02-28', 'max': 6, 'min': 1}, {'avg': 3, 'day': '2025-03-01', 'max': 11, 'min': 1}, {'avg': 3, 'day': '2025-03-02', 'max': 10, 'min': 1}, {'avg': 2, 'day': '2025-03-03', 'max': 17, 'min': 1}, {'avg': 2, 'day': '2025-03-04', 'max': 14, 'min': 1}, {'avg': 1, 'day': '2025-03-05', 'max': 6, 'min': 1}, {'avg': 1, 'day': '2025-03-06', 'max': 1, 'min': 1}], 'pm10': [{'avg': 58, 'day': '2025-02-27', 'max': 58, 'min': 58}, {'avg': 40, 'day': '2025-02-28', 'max': 58, 'min': 19}, {'avg': 65, 'day': '2025-03-01', 'max': 73, 'min': 53}, {'avg': 45, 'day': '2025-03-02', 'max': 71, 'min': 27}, {'avg': 43, 'day': '2025-03-03', 'max': 46, 'min': 28}, {'avg': 45, 'day': '2025-03-04', 'max': 57, 'min': 27}, {'avg': 31, 'day': '2025-03-05', 'max': 58, 'min': 1}, {'avg': 52, 'day': '2025-03-06', 'max': 73, 'min': 24}, {'avg': 56, 'day': '2025-03-07', 'max': 62, 'min': 28}], 'pm25': [{'avg': 158, 'day': '2025-02-27', 'max': 158, 'min': 158}, {'avg': 115, 'day': '2025-02-28', 'max': 155, 'min': 68}, {'avg': 166, 'day': '2025-03-01', 'max': 174, 'min': 151}, {'avg': 119, 'day': '2025-03-02', 'max': 172, 'min': 80}, {'avg': 129, 'day': '2025-03-03', 'max': 138, 'min': 88}, {'avg': 123, 'day': '2025-03-04', 'max': 158, 'min': 74}, {'avg': 96, 'day': '2025-03-05', 'max': 159, 'min': 21}, {'avg': 111, 'day': '2025-03-06', 'max': 154, 'min': 68}, {'avg': 142, 'day': '2025-03-07', 'max': 163, 'min': 87}], 'uvi': [{'avg': 0, 'day': '2025-03-01', 'max': 2, 'min': 0}, {'avg': 0, 'day': '2025-03-02', 'max': 2, 'min': 0}, {'avg': 1, 'day': '2025-03-03', 'max': 3, 'min': 0}, {'avg': 1, 'day': '2025-03-04', 'max': 3, 'min': 0}, {'avg': 1, 'day': '2025-03-05', 'max': 3, 'min': 0}, {'avg': 0, 'day': '2025-03-06', 'max': 0, 'min': 0}]}}, 'debug': {'sync': '2025-03-01T21:13:10+09:00'}}"
2025-03-01 12:15:44,Los Angeles,28,28,"{'aqi': 28, 'idx': 243, 'attributions': [{'url': 'http://www.aqmd.gov/', 'name': 'South Coast Air Quality Management District (AQMD)', 'logo': 'USA-SouthCoastAQMD.png'}, {'url': 'http://www.airnow.gov/', 'name': 'Air Now - US EPA'}, {'url': 'http://www.arb.ca.gov/', 'name': 'CARB - California Air Resources Board', 'logo': 'USA-CAARB.png'}, {'url': 'https://waqi.info/', 'name': 'World Air Quality Index Project'}], 'city': {'geo': [34.06653, -118.22676], 'name': 'Los Angeles-North Main Street', 'url': 'https://aqicn.org/city/losangeles/los-angeles-north-main-street', 'location': ''}, 'dominentpol': 'pm25', 'iaqi': {'co': {'v': 2.3}, 'h': {'v': 88}, 'no2': {'v': 5}, 'o3': {'v': 27.2}, 'p': {'v': 1034}, 'pm10': {'v': 11}, 'pm25': {'v': 28}, 'so2': {'v': 0.2}, 't': {'v': 12.2}, 'w': {'v': 0.1}, 'wg': {'v': 0.1}}, 'time': {'s': '2025-03-01 03:00:00', 'tz': '-08:00', 'v': 1740798000, 'iso': '2025-03-01T03:00:00-08:00'}, 'forecast': {'daily': {'o3': [{'avg': 7, 'day': '2025-02-27', 'max': 26, 'min': 2}, {'avg': 7, 'day': '2025-02-28', 'max': 32, 'min': 1}, {'avg': 8, 'day': '2025-03-01', 'max': 24, 'min': 1}, {'avg': 15, 'day': '2025-03-02', 'max': 20, 'min': 14}, {'avg': 4, 'day': '2025-03-03', 'max': 16, 'min': 1}, {'avg': 5, 'day': '2025-03-04', 'max': 28, 'min': 1}, {'avg': 7, 'day': '2025-03-05', 'max': 20, 'min': 1}], 'pm10': [{'avg': 43, 'day': '2025-02-27', 'max': 52, 'min': 23}, {'avg': 50, 'day': '2025-02-28', 'max': 61, 'min': 27}, {'avg': 46, 'day': '2025-03-01', 'max': 65, 'min': 18}, {'avg': 10, 'day': '2025-03-02', 'max': 25, 'min': 3}, {'avg': 36, 'day': '2025-03-03', 'max': 59, 'min': 4}, {'avg': 45, 'day': '2025-03-04', 'max': 68, 'min': 24}, {'avg': 49, 'day': '2025-03-05', 'max': 69, 'min': 4}], 'pm25': [{'avg': 74, 'day': '2025-02-27', 'max': 92, 'min': 39}, {'avg': 109, 'day': '2025-02-28', 'max': 147, 'min': 53}, {'avg': 108, 'day': '2025-03-01', 'max': 155, 'min': 52}, {'avg': 20, 'day': '2025-03-02', 'max': 58, 'min': 6}, {'avg': 82, 'day': '2025-03-03', 'max': 130, 'min': 8}, {'avg': 104, 'day': '2025-03-04', 'max': 157, 'min': 67}, {'avg': 124, 'day': '2025-03-05', 'max': 160, 'min': 8}], 'uvi': [{'avg': 1, 'day': '2025-02-27', 'max': 5, 'min': 0}, {'avg': 1, 'day': '2025-02-28', 'max': 5, 'min': 0}, {'avg': 1, 'day': '2025-03-01', 'max': 4, 'min': 0}, {'avg': 1, 'day': '2025-03-02', 'max': 5, 'min': 0}, {'avg': 1, 'day': '2025-03-03', 'max': 4, 'min': 0}, {'avg': 2, 'day': '2025-03-04', 'max': 6, 'min': 0}, {'avg': 1, 'day': '2025-03-05', 'max': 1, 'min': 0}]}}, 'debug': {'sync': '2025-03-01T21:01:32+09:00'}}"
